city,timestamp,temperature,season
New York,2010-01-01,-6.893763053665368,winter
New York,2010-01-02,-9.328648005372282,winter
New York,2010-01-03,-1.1263585467224633,winter
New York,2010-01-04,1.9862739232682014,winter
New York,2010-01-05,-0.02228986933217649,winter
New York,2010-01-06,4.501867368457715,winter
New York,2010-01-07,-1.9592860668709868,winter
New York,2010-01-08,-3.064232841334934,winter
New York,2010-01-09,10.214174874498019,winter
New York,2010-01-10,-2.276382671361482,winter
New York,2010-01-11,-1.1110621326288534,winter
New York,2010-01-12,2.5937563414565323,winter
New York,2010-01-13,5.777314067731702,winter
New York,2010-01-14,-5.6615043056239145,winter
New York,2010-01-15,-0.6136256217089922,winter
New York,2010-01-16,-7.031199881428031,winter
New York,2010-01-17,2.303027108754146,winter
New York,2010-01-18,-0.30617437171472744,winter
New York,2010-01-19,-4.468987129184346,winter
New York,2010-01-20,-2.2316181267160844,winter
New York,2010-01-21,-1.3357044030292822,winter
New York,2010-01-22,-2.397559515220187,winter
New York,2010-01-23,-4.782705242771322,winter
New York,2010-01-24,-3.8353834663714608,winter
New York,2010-01-25,-4.421424796644126,winter
New York,2010-01-26,-2.9378269750472326,winter
New York,2010-01-27,-3.3447792646097803,winter
New York,2010-01-28,2.1328186767400794,winter
New York,2010-01-29,-0.22206163118509617,winter
New York,2010-01-30,-0.31452338170204575,winter
New York,2010-01-31,4.199587067679539,winter
New York,2010-02-01,-7.834310686248629,winter
New York,2010-02-02,3.331413788914641,winter
New York,2010-02-03,6.098211939209928,winter
New York,2010-02-04,-5.10809023599759,winter
New York,2010-02-05,-5.415392817449106,winter
New York,2010-02-06,-8.07146188300648,winter
New York,2010-02-07,2.4232321421737417,winter
New York,2010-02-08,5.725185578405788,winter
New York,2010-02-09,1.9668275336542247,winter
New York,2010-02-10,2.664952184274574,winter
New York,2010-02-11,0.26357836778366495,winter
New York,2010-02-12,1.294660723450964,winter
New York,2010-02-13,14.347756657863385,winter
New York,2010-02-14,8.320293930343372,winter
New York,2010-02-15,-4.613746551937396,winter
New York,2010-02-16,3.3059124789237897,winter
New York,2010-02-17,0.950556893810171,winter
New York,2010-02-18,-4.213979751540863,winter
New York,2010-02-19,-0.2071641435002203,winter
New York,2010-02-20,2.8825113289262116,winter
New York,2010-02-21,7.511851735478587,winter
New York,2010-02-22,-5.647201916265148,winter
New York,2010-02-23,-5.719837165306,winter
New York,2010-02-24,-5.7948304862582924,winter
New York,2010-02-25,1.5453174800535785,winter
New York,2010-02-26,2.2929868960227053,winter
New York,2010-02-27,-1.251422165944095,winter
New York,2010-02-28,2.6997946636635577,winter
New York,2010-03-01,11.125924154198968,spring
New York,2010-03-02,10.828691767250627,spring
New York,2010-03-03,5.099092847056898,spring
New York,2010-03-04,3.0719991025503957,spring
New York,2010-03-05,9.179956116714276,spring
New York,2010-03-06,9.22833810197224,spring
New York,2010-03-07,7.855498524003386,spring
New York,2010-03-08,4.8403179398128495,spring
New York,2010-03-09,14.104923102486998,spring
New York,2010-03-10,13.881342231930995,spring
New York,2010-03-11,3.744506613464985,spring
New York,2010-03-12,4.556953847596433,spring
New York,2010-03-13,13.694338643828603,spring
New York,2010-03-14,5.462333541778944,spring
New York,2010-03-15,6.675400800870261,spring
New York,2010-03-16,8.8678645819623,spring
New York,2010-03-17,5.113976153303186,spring
New York,2010-03-18,15.493422334364073,spring
New York,2010-03-19,6.196510992541804,spring
New York,2010-03-20,12.562084847493495,spring
New York,2010-03-21,5.101689723351641,spring
New York,2010-03-22,7.852507814543463,spring
New York,2010-03-23,11.819087294282635,spring
New York,2010-03-24,11.81296323158647,spring
New York,2010-03-25,18.044772408086974,spring
New York,2010-03-26,18.405684537160937,spring
New York,2010-03-27,18.898757667683203,spring
New York,2010-03-28,18.125350215596516,spring
New York,2010-03-29,11.633100934232344,spring
New York,2010-03-30,6.7035709503900085,spring
New York,2010-03-31,10.95157435272298,spring
New York,2010-04-01,9.762884419601388,spring
New York,2010-04-02,9.742589929288497,spring
New York,2010-04-03,3.7212389638451904,spring
New York,2010-04-04,3.8076833526767406,spring
New York,2010-04-05,17.952824462780917,spring
New York,2010-04-06,5.839081228377495,spring
New York,2010-04-07,4.436595418517938,spring
New York,2010-04-08,8.061639395254918,spring
New York,2010-04-09,-2.439645493757958,spring
New York,2010-04-10,14.932558128800206,spring
New York,2010-04-11,10.682095407603112,spring
New York,2010-04-12,9.894905110267732,spring
New York,2010-04-13,8.108225933024178,spring
New York,2010-04-14,14.620636927098476,spring
New York,2010-04-15,11.487108013572543,spring
New York,2010-04-16,8.481978155775872,spring
New York,2010-04-17,9.374772378166266,spring
New York,2010-04-18,5.588527224361984,spring
New York,2010-04-19,5.55211388572975,spring
New York,2010-04-20,-1.527754757027211,spring
New York,2010-04-21,9.846218800390478,spring
New York,2010-04-22,13.960627778328535,spring
New York,2010-04-23,14.399272200954734,spring
New York,2010-04-24,22.724394935251837,spring
New York,2010-04-25,18.206151785685627,spring
New York,2010-04-26,22.363203261878922,spring
New York,2010-04-27,12.24212607297608,spring
New York,2010-04-28,8.787475884010407,spring
New York,2010-04-29,14.86303580785622,spring
New York,2010-04-30,6.347325209005483,spring
New York,2010-05-01,6.167920096633333,spring
New York,2010-05-02,10.007045644108121,spring
New York,2010-05-03,11.653051353761237,spring
New York,2010-05-04,-1.248659172866724,spring
New York,2010-05-05,13.36989522294193,spring
New York,2010-05-06,8.9635469400475,spring
New York,2010-05-07,8.66793654936229,spring
New York,2010-05-08,12.152895188030003,spring
New York,2010-05-09,0.7182893045731176,spring
New York,2010-05-10,8.66382998148662,spring
New York,2010-05-11,10.44579406926319,spring
